Title,Price,Subscribers,Reviews,Length,Reviews Percent
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,4.0,1.212891301836664
Learning Dynamic Website Design - PHP MySQL and JavaScript,50,47886,285,12.5,0.5951635133441925
ChatBots: Messenger ChatBot with API.AI and Node.JS,50,2577,529,4.5,20.527745440434614
Projects in HTML5,60,8777,206,15.5,2.3470434089096504
Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,20,23764,490,5.5,2.061942433933681
How To Make A Wordpress Website 2017 | Divi Theme Tutorial,40,3541,202,4.0,5.70460321942954
Build Your Own Backend REST API using Django REST Framework,50,2669,112,5.5,4.196328212813788
Angular and Firebase - Build a Web App with Typescript,150,1966,359,5.0,18.260427263479144
Web Development Masterclass - Complete Certificate Course,200,4090,178,19.5,4.352078239608802
Spring Boot Tutorial For Beginners,40,2578,210,5.5,8.145849495733126
The Complete Bootstrap Masterclass Course - Build 4 Projects,195,24978,540,7.0,2.1619024741772757
Scaling Docker on AWS,25,3133,351,6.0,11.20331950207469
Learn JavaScript for beginners,200,15276,167,1.5,1.0932181199266824
HTML Tutorial: HTML & CSS for Beginners,20,12458,253,4.0,2.0308235671857444
Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,3.5,20.239190432382706
Learn Complete Web Development From Scratch,40,14074,106,12.0,0.753161858746625
Introduction to Web Development: HTML,20,26800,333,3.0,1.2425373134328357
Web Site for Beginners - Learn Web Building like knitting,20,9425,147,1.5,1.5596816976127321
